Entry Date,Exit Date,Entry Price,Exit Price,Net Return %,Net Profit €,Post-Trade Equity,Protection Level
2013-01-28 12:01:00,2013-02-01 20:01:00,17.81,20.35,14.28,371.66,1110.26,2
2013-02-03 08:01:00,2013-02-13 20:01:00,20.2,25.0,23.76,460.5,2043.51,0
2013-02-17 20:01:00,2013-02-23 00:01:00,27.01,29.11,7.79,552.65,2569.71,0
2013-02-23 08:01:00,2013-02-23 12:01:00,29.46,28.38,-3.66,-334.95,2228.46,0
2013-02-26 20:01:00,2013-03-06 20:01:00,31.13,42.31,35.91,1398.05,4657.74,0
2013-03-15 04:01:00,2013-03-22 04:01:00,47.31,70.01,47.99,3906.79,10578.11,0
2013-04-01 12:01:00,2013-04-02 04:01:00,105.56,102.33,-3.06,-1153.54,9387.55,0
2013-05-19 00:01:00,2013-05-27 16:01:00,118.75,125.17,5.41,1757.01,10953.99,0
2013-05-28 00:01:00,2013-06-02 08:01:00,126.02,122.18,-3.04,-1190.03,9618.27,0
2013-07-30 12:01:00,2013-07-31 12:01:00,94.7,96.72,2.13,696.2,10274.08,0
2013-08-04 08:01:00,2013-08-08 12:01:00,96.14,93.71,-2.52,-929.03,9233.58,0
2013-08-13 00:01:00,2013-08-22 16:01:00,95.08,109.25,14.9,4795.02,13821.76,1
2013-08-24 08:01:00,2013-08-31 20:01:00,108.44,128.0,18.04,8697.77,22272.81,0
2013-09-03 08:01:00,2013-09-04 16:01:00,127.84,124.07,-2.95,-2344.3,19819.37,0
2013-09-15 20:01:00,2013-09-20 04:01:00,125.49,123.4,-1.66,-1194.4,18402.99,0
2013-09-25 04:01:00,2013-10-02 16:01:00,124.86,110.63,-11.4,-7381.52,10692.98,1
2013-10-07 20:01:00,2013-10-16 20:01:00,123.91,137.54,11.0,4093.04,14561.46,3
2013-10-28 12:01:00,2013-10-30 16:01:00,195.88,199.67,1.94,956.67,15421.3,2
2013-11-02 00:01:00,2013-11-09 20:01:00,203.5,338.0,66.09,17819.88,39693.55,2
2014-01-02 20:01:00,2014-01-06 12:01:00,784.97,885.56,12.81,17718.67,57023.22,0
2014-01-20 12:01:00,2014-01-24 00:01:00,822.63,795.55,-3.29,-6690.15,49794.2,0
2014-01-26 20:01:00,2014-01-27 16:01:00,815.31,780.48,-4.27,-7550.71,42051.78,0
2014-01-30 20:01:00,2014-02-04 08:01:00,800.79,800.0,-0.1,-233.51,41332.58,2
2014-02-04 16:01:00,2014-02-05 16:01:00,809.47,795.0,-1.79,-2672.56,38486.42,2
2014-05-31 12:01:00,2014-06-01 16:01:00,622.25,638.8,2.66,3501.5,41812.81,3
2014-06-22 04:01:00,2014-06-24 04:01:00,604.26,585.47,-3.11,-4639.39,36910.0,2
2014-06-27 16:01:00,2014-07-04 08:01:00,590.42,623.63,5.62,7188.94,43504.69,2
2014-07-05 12:01:00,2014-07-10 04:01:00,633.6,611.79,-3.44,-5333.42,37653.57,1
2014-07-12 08:01:00,2014-07-16 08:01:00,631.78,616.9,-2.36,-3183.23,34074.97,2
2014-07-22 12:01:00,2014-07-24 08:01:00,625.42,606.59,-3.01,-3663.17,30209.06,3
2014-11-29 12:01:00,2014-12-04 08:01:00,381.5,367.02,-3.8,-4076.83,25762.17,3
2014-12-05 20:01:00,2014-12-08 04:01:00,376.38,369.92,-1.72,-1600.75,23981.08,3
2015-02-27 20:01:00,2015-03-04 20:01:00,253.03,270.72,6.99,5816.69,29495.61,3
2015-03-10 00:01:00,2015-03-13 20:01:00,290.27,283.22,-2.43,-2569.27,26626.96,3
2015-03-14 08:01:00,2015-03-17 20:01:00,282.99,282.34,-0.23,-270.87,26104.47,3
2015-05-09 12:01:00,2015-05-13 20:01:00,241.44,235.97,-2.27,-2125.22,23686.88,3
2015-05-24 04:01:00,2015-05-25 16:01:00,238.74,235.16,-1.5,-1292.41,22270.11,3
2015-05-26 12:01:00,2015-05-27 12:01:00,236.3,234.79,-0.64,-543.56,21633.02,3
